1F417,[イノシシ]
1F418,[ゾウ]
1F419,[タコ]
1F41A,[巻貝]
1F41B,[ゲジゲジ]
1F41C,[アリ]
1F41D,[ミツバチ]
1F41E,[てんとう虫]
1F41F,E751
1F420,E751
1F421,E751
1F422,[カメ]
1F423,E74F
1F424,E74F
1F425,E74F
1F426,E74F
1F427,E750
1F428,[コアラ]
1F429,E6A1
1F42B,[ラクダ]
1F42C,[イルカ]
1F42D,[ネズミ]
1F42E,[牛]
1F42F,[トラ]
1F430,[ウサギ]
1F431,E6A2
1F432,[辰]
1F433,[クジラ]
1F434,E754
1F435,[サル]
1F436,E6A1
1F437,E755
1F438,[カエル]
1F439,[ハムスター]
1F43A,E6A1
1F43B,[クマ]
1F43C,[パンダ]
1F43D,E755
1F43E,E698
1F440,E691
1F442,E692
1F443,[鼻]
1F444,E6F9
1F445,E728
1F446,[↑]
1F447,[↓]
1F448,[←]
1F449,[→]
1F44A,E6FD
1F44B,E695
1F44C,E70B
1F44D,E727
1F44E,E700
1F44F,[拍手]
1F450,E695
1F451,E71A
1F452,[帽子]
1F453,E69A
1F454,[ネクタイ]
1F455,E70E
1F456,E711
1F457,[ドレス]
1F458,[着物]
1F459,[ビキニ]
1F45A,E70E
1F45B,E70F
1F45C,E682
1F45D,E6AD
1F45E,E699
1F45F,E699
1F460,E674
1F461,E674
1F462,[ブーツ]
1F463,E698
1F464,E6B1
1F466,E6F0
1F467,E6F0
1F468,E6F0
1F469,E6F0
1F46A,[家族]
1F46B,[カップル]
1F46E,[警官]
1F46F,[バニー]
1F470,[花嫁]
1F471,[白人]
1F472,[中国人]
1F473,[インド人]
1F474,[おじいさん]
1F475,[おばあさん]
1F476,[赤ちゃん]
1F477,[工事現場の人]
1F478,[お姫様]
1F479,[なまはげ]
1F47A,[天狗]
1F47B,[お化け]
1F47C,[天使]
1F47D,[UFO]
1F47E,[宇宙人]
1F47F,[アクマ]
1F480,[ドクロ]
1F481,[案内]
1F482,[衛兵]
1F483,[ダンス]
1F484,E710
1F485,[マニキュア]
1F486,[エステ]
1F487,E675
1F488,[床屋]
1F489,[注射]
1F48A,[薬]
1F48B,E6F9
1F48C,E717
1F48D,E71B
1F48E,E71B
1F48F,E6F9
1F490,[花束]
1F491,E6ED
1F492,[結婚式]
1F493,E6ED
1F494,E6EE
1F495,E6EF
1F496,E6EC
1F497,E6ED
1F498,E6EC
1F499,E6EC
1F49A,E6EC
1F49B,E6EC
1F49C,E6EC
1F49D,E6EC
1F49E,E6ED
1F49F,E6F8
1F4A0,E6F8
1F4A1,E6FB
1F4A2,E6FC
1F4A3,E6FE
1F4A4,E701
1F4A5,E705
1F4A6,E706
1F4A7,E707
1F4A8,E708
1F4A9,[ウンチ]
1F4AA,[力こぶ]
1F4AB,[クラクラ]
1F4AC,[フキダシ]
1F4AE,[花丸]
1F4AF,[100点]
1F4B0,E715
1F4B1,[$￥]
1F4B2,E715
1F4B3,[カード]
1F4B4,E6D6
1F4B5,E715
1F4B8,[飛んでいくお金]
1F4B9,[株価]
1F4BA,E6B2
1F4BB,E716
1F4BC,E682
1F4BD,[MD]
1F4BE,[フロッピー]
1F4BF,E68C
1F4C0,E68C
1F4C1,[フォルダ]
1F4C2,[フォルダ]
1F4C3,E689
1F4C4,E689
1F4C5,[カレンダー]
1F4C6,[カレンダー]
1F4C7,E683
1F4C8,[グラフ]
1F4C9,[グラフ]
1F4CA,[グラフ]
1F4CB,E689
1F4CC,[画びょう]
1F4CD,[画びょう]
1F4CE,E730
1F4CF,[定規]
1F4D0,[三角定規]
1F4D1,E689
1F4D2,E683
1F4D3,E683
1F4D4,E683
1F4D5,E683
1F4D6,E683
1F4D7,E683
